# rebinned flux file from beam_profile_scaled_full.txt
0.68	3432.03	13.2317
0.78	7348.44	19.4848
0.88	14415.9	27.5095
0.98	25470.4	36.8604
1.08	38741.3	45.8347
1.18	55571.9	55.3516
1.28	77112.2	65.7459
1.38	105509	77.5349
1.48	142507	90.8576
1.58	190918	106.04
1.68	254868	123.547
1.78	326809	141.073
1.88	411927	159.689
1.98	506261	178.494
2.05000000	555730.00000000	1918.24000000
2.15000000	693632.00000000	2143.06000000
2.25000000	820588.00000000	2330.95000000
2.35000000	889529.00000000	2426.89000000
2.45000000	945465.00000000	2502.04000000
2.55000000	962730.50000000	1785.32914820
2.65000000	967165.00000000	1789.43563533
2.75000000	927110.50000000	1751.99143926
2.85000000	881981.50000000	1708.81601143
2.95000000	872800.50000000	1699.90096776
3.05000000	836051.00000000	1358.11349297
3.15000000	804836.00000000	1332.51399190
3.25000000	768713.33333333	1302.26507233
3.35000000	731658.66666667	1270.49025191
3.45000000	687144.33333333	1231.23504619
3.55000000	656547.25000000	1042.77632921
3.65000000	635745.75000000	1026.12886823
3.75000000	606944.25000000	1002.61785941
3.85000000	559234.50000000	962.40684999
3.95000000	528151.75000000	935.27393340
4.05000000	500303.60000000	772.81829398
4.15000000	532939.60000000	797.01836940
4.25000000	526635.20000000	792.35869168
4.35000000	511058.60000000	780.61644080
4.45000000	489676.80000000	764.04639869
4.55000000	466526.83333333	642.02508775
4.65000000	440689.83333333	623.52155234
4.75000000	435694.16666667	619.99533497
4.85000000	417718.33333333	607.06688378
4.95000000	394565.83333333	590.22904215
5.05000000	371174.57142857	505.70234283
5.15000000	349084.57142857	489.85079067
5.25000000	328148.57142857	474.88226352
5.35000000	308122.28571429	460.18745837
5.45000000	288106.00000000	444.25908239
5.55000000	269359.42857143	428.94970144
5.65000000	258141.50000000	441.02551282
5.75000000	242860.50000000	427.49436967
5.85000000	226538.00000000	412.60073852
5.95000000	212167.83333333	399.05958259
6.05000000	201365.83333333	349.81239018
6.15000000	188878.33333333	338.53712891
6.25000000	176548.00000000	326.96873247
6.35000000	167130.83333333	318.31462843
6.45000000	158687.33333333	311.16905965
6.55000000	147804.00000000	300.01933011
6.65000000	138589.00000000	290.13499208
6.75000000	130299.00000000	281.58905405
6.85000000	122344.00000000	272.43722780
6.95000000	117254.00000000	269.69372566
7.05000000	108871.00000000	204.74572577
7.15000000	102236.20000000	198.20238348
7.25000000	96144.98000000	192.12573745
7.35000000	90487.98000000	186.56927249
7.45000000	85692.40000000	183.96499584
7.55000000	80418.55000000	178.19598650
7.65000000	75420.40000000	172.49200669
7.75000000	70834.32500000	167.07999923
7.85000000	66900.62500000	162.47752521
7.95000000	63339.33333333	174.21160662
8.05000000	59584.32500000	140.61678263
8.15000000	56203.65000000	136.52604722
8.25000000	53176.77500000	132.84514072
8.35000000	50344.15000000	129.40993221
8.45000000	47643.16666667	132.67879924
8.55000000	44836.43333333	128.71032954
8.65000000	42316.33333333	125.05448684
8.75000000	40078.46666667	121.69718319
8.85000000	38063.13333333	118.57999159
8.95000000	35670.60000000	114.79387730
9.05000000	33857.20000000	91.89677311
9.15000000	32139.15000000	89.50947460
9.25000000	30366.75000000	86.96578930
9.35000000	28894.62500000	84.90739009
9.45000000	27311.50000000	89.91373038
9.55000000	25892.10000000	87.55283961
9.65000000	24537.00000000	85.23115158
9.75000000	23229.03333333	82.92874819
9.85000000	21983.50000000	80.68315516
9.95000000	20893.13333333	78.61793235
10.05000000	19974.30000000	64.47184282
10.15000000	18765.30000000	62.47023004
