2010-05-26T09:17:28	Fast_Shutter	CLOSED
2010-05-26T09:36:37	Guide3	124.7
2010-05-26T09:36:38	Guide_Pressure	820
2010-05-26T09:36:38	Guide4	140.72
2010-05-26T09:36:38	Guide3	127.84
2010-05-26T09:36:40	Guide4	138.18
2010-05-26T09:36:40	Guide3	130.4
2010-05-26T09:36:41	Guide_Pressure	810
2010-05-26T09:36:41	Guide4	134.58
2010-05-26T09:36:41	Guide3	133.98
2010-05-26T09:36:42	Guide4	132.02
2010-05-26T09:36:42	Guide3	136.56
2010-05-26T09:36:43	Guide4	129.44
2010-05-26T09:36:43	Guide3	139.72
2010-05-26T09:36:44	Guide_Pressure	800
2010-05-26T09:36:44	Guide4	125.76
2010-05-26T09:36:44	Guide3	142.8
2010-05-26T09:36:45	Guide4	123.16
2010-05-26T09:36:45	Guide3	145.42
2010-05-26T09:36:46	Guide4	120.54
2010-05-26T09:36:46	Guide3	148.54
2010-05-26T09:36:48	Guide_Pressure	810
2010-05-26T09:36:48	Guide4	116.94
2010-05-26T09:36:48	Guide3	151.62
2010-05-26T09:36:49	Guide4	114.26
2010-05-26T09:36:49	Guide3	154.3
2010-05-26T09:36:50	Guide4	111.12
2010-05-26T09:36:50	Guide3	157.44
2010-05-26T09:36:51	Guide4	108.56
2010-05-26T09:36:51	Guide3	160
2010-05-26T09:36:52	Guide4	105.48
2010-05-26T09:36:52	Guide3	163.08
2010-05-26T09:36:53	Guide4	102.4
2010-05-26T09:36:53	Guide3	166.16
2010-05-26T09:36:55	Guide4	99.26
2010-05-26T09:36:55	Guide3	169.32
2010-05-26T09:36:56	Guide4	96.7
2010-05-26T09:36:56	Guide3	172.38
2010-05-26T09:36:57	Guide4	93.62
2010-05-26T09:36:57	Guide3	174.96
2010-05-26T09:36:58	Guide4	90.5
2010-05-26T09:36:58	Guide3	178.06
2010-05-26T09:36:59	Guide4	87.94
2010-05-26T09:36:59	Guide3	181.18
2010-05-26T09:37:00	Guide4	84.8
2010-05-26T09:37:00	Guide3	183.76
2010-05-26T09:37:01	Guide4	81.66
2010-05-26T09:37:01	Guide3	186.9
2010-05-26T09:37:03	Guide_Pressure	800
2010-05-26T09:37:03	Guide4	78.6
2010-05-26T09:37:03	Guide3	189.96
2010-05-26T09:37:04	Guide4	76
2010-05-26T09:37:04	Guide3	193.12
2010-05-26T09:37:05	Guide4	72.86
2010-05-26T09:37:05	Guide3	195.7
2010-05-26T09:37:06	Guide4	69.72
2010-05-26T09:37:06	Guide3	198.84
2010-05-26T09:37:07	Guide4	66.6
2010-05-26T09:37:07	Guide3	201.98
2010-05-26T09:37:08	Guide4	63.88
2010-05-26T09:37:08	Guide3	205.18
2010-05-26T09:37:10	Guide_Pressure	810
2010-05-26T09:37:10	Guide4	60.22
2010-05-26T09:37:10	Guide3	208.34
2010-05-26T09:37:11	Guide4	57.68
2010-05-26T09:37:11	Guide3	210.88
2010-05-26T09:37:12	Guide4	54.54
2010-05-26T09:37:12	Guide3	214.02
2010-05-26T09:37:13	Guide4	51.96
2010-05-26T09:37:13	Guide3	217.12
2010-05-26T09:37:14	Guide4	48.86
2010-05-26T09:37:14	Guide3	219.7
2010-05-26T09:37:15	Guide4	45.74
2010-05-26T09:37:15	Guide3	222.8
2010-05-26T09:37:17	Guide4	43.1
2010-05-26T09:37:17	Guide3	225.46
2010-05-26T09:37:18	Guide4	40.02
2010-05-26T09:37:18	Guide3	228.54
2010-05-26T09:37:19	Guide_Pressure	800
2010-05-26T09:37:19	Guide4	37.22
2010-05-26T09:37:19	Guide3	231.34
2010-05-26T09:37:20	Guide4	34.06
2010-05-26T09:37:20	Guide3	234.5
2010-05-26T09:37:21	Guide4	31.5
2010-05-26T09:37:21	Guide3	237.56
2010-05-26T09:37:22	Guide_Pressure	810
2010-05-26T09:37:22	Guide4	28.38
2010-05-26T09:37:22	Guide3	240.18
2010-05-26T09:37:24	Guide4	25.32
2010-05-26T09:37:24	Guide3	243.26
