qi_25Bio	ri_25BioS	si_25BioS	ti_25BioS
0.01	0.517673869847545	0.00288895885190348	0.00204980760315929
0.011	0.523706640760639	0.00277504731640931	0.00206647313313521
0.012	0.519379890294397	0.0025922425747244	0.00208457298824075
0.013	0.522264554501056	0.00260078510982847	0.00210407015329091
0.014	0.527162559471083	0.00244041408546179	0.00212492616576897
0.015	0.522186775825881	0.00243748414931092	0.00214710142827556
0.016	0.523056480447795	0.00242927914245207	0.00217055550723073
0.017	0.521946690895314	0.00249136479598613	0.00219524741429517
0.018	0.521655941466956	0.00238474276808162	0.00222113586781695
0.019	0.519108314492033	0.00239800333402283	0.00224817953241498
0.02	0.521656309854069	0.00235551435829441	0.002276337235554
0.021	0.513613363612512	0.00229702085723433	0.0023055681606283
0.022	0.515715122097692	0.00226725466600041	0.00233583201664196
0.023	0.516342968537398	0.00225189559339553	0.00236708918504767
0.024	0.512330663936716	0.00218482098016159	0.00239930084468434
0.025	0.505804415198693	0.00220014995994269	0.00243242907604099
0.026	0.505839301528304	0.0021383306419125	0.00246643694627891
0.027	0.507959592618868	0.00214357751589252	0.00250128857657468
0.028	0.506703575118051	0.00205645379780826	0.00253694919341512
0.029	0.50594059612193	0.00210251150134824	0.0025733851654911
0.03	0.503550325619836	0.00199859021826519	0.00261056402781142
0.031	0.502121643651587	0.00200767907620828	0.00264845449460051
0.032	0.49858525714006	0.00198110786212825	0.00268702646246174
0.033	0.496107887395369	0.00194048502841148	0.00272625100519064
0.034	0.492692316035921	0.00191052366434124	0.00276610036151432
0.035	0.489249952524687	0.0019081967253692	0.00280654791692029
0.036	0.494443139182876	0.00187742857868211	0.00284756818062412
0.037	0.49464340755798	0.00186775753209413	0.00288913675861314
0.038	0.488195229836637	0.00181459649267222	0.00293123032359616
0.039	0.493568537596881	0.00182167120021435	0.00297382658258732
0.04	0.485836950248758	0.00179565294632035	0.00301690424275774
0.041	0.4848909984743	0.00178009591058073	0.0030604429761016
0.042	0.485092609167051	0.00172889987258723	0.00310442338338426
0.043	0.485835767341583	0.00174304422167431	0.0031488269577685
0.044	0.480228025103906	0.00171489361579	0.00319363604845161
0.045	0.476939264055681	0.00170422632584542	0.00323883382458918
0.046	0.47718629656104	0.00165095233890964	0.00328440423973201
0.047	0.471131902003335	0.00164982841556205	0.00333033199695911
0.048	0.472960739956665	0.00163912444515699	0.00337660251485172
0.049	0.469863461238298	0.00159479267537501	0.00342320189442131
0.05	0.470586990325781	0.00161676408328427	0.00347011688707594
0.051	0.470622600239805	0.00157669337128898	0.00351733486368628
0.052	0.467992657197533	0.00158803043235735	0.00356484378479193
0.053	0.466505374280766	0.00155307302551522	0.00361263217197235
0.054	0.464376598411365	0.00156161470177425	0.00366068908039224
0.055	0.464971934727798	0.00152005477715433	0.00370900407251996
0.056	0.463901379394563	0.00149801232372891	0.00375756719300795
0.057	0.460923733918272	0.00151254509925003	0.0038063689447166
0.058	0.460703839217997	0.00149229713693139	0.00385540026585692
0.059	0.455619141820458	0.00145836225905934	0.00390465250822268
0.06	0.451815803983799	0.00145931216163694	0.00395411741647905
0.061	0.450683536432648	0.0014312746992957	0.00400378710847238
0.062	0.448659155935715	0.00144830330414924	0.00405365405652353
0.063	0.446717420427948	0.00139246245693907	0.00410371106966645
0.064	0.445130146825001	0.00141388720346237	0.00415395127679293
0.065	0.442283923065625	0.00136850933454143	0.00420436811066415
0.066	0.440441188933538	0.00138850015355609	0.0042549552927502
0.067	0.437281474382821	0.00135757809270261	0.00430570681885909
0.068	0.436895871097464	0.00133730030125052	0.00435661694551743
0.069	0.435105661731494	0.00133850872001749	0.00440768017706627
0.07	0.433163218118048	0.00133522426880978	0.00445889125343618
0.071	0.431198173433622	0.00131495632836685	0.00451024513856726
0.072	0.42830317615546	0.00130385286009441	0.00456173700944092
0.073	0.426878030116765	0.00127400307181282	0.00461336224569127
0.074	0.424814608953508	0.00128209103118893	0.00466511641976592
0.075	0.422260559251012	0.00127393153934413	0.00471699528760661
0.076	0.419295778361689	0.00125571885222756	0.00476899477982202
0.077	0.418228414503696	0.00124300615327417	0.00482111099332609
0.078	0.416390078593552	0.00124537684138618	0.0048733401834166
0.079	0.415724759208964	0.00123186409891611	0.00492567875627001
0.08	0.416702246996593	0.00121456785703338	0.00497812326182967
0.081	0.411373968173143	0.00120245221603287	0.00503067038706602
0.082	0.410732839536672	0.00119658365440112	0.0050833169495881
0.083	0.411018634010095	0.0011971770928033	0.00513605989158709
0.084	0.421048808029704	0.00121241370773809	0.00518889627409365
0.085	0.414700026306135	0.001219734024349	0.00524182327153154
0.086	0.412158363971391	0.00124406789162744	0.00529483816655142
0.087	0.415718041932464	0.00129445619142887	0.00534793834512917
0.088	0.401916488656725	0.00131407757320098	0.00540112129191427
0.089	0.40201716704992	0.00133473906145962	0.00545438458581439
0.09	0.396659202014863	0.0013172654828323	0.00550772589580336
0.091	0.395795084892028	0.00133402528637521	0.00556114297694005
0.092	0.392620499221919	0.00132379823409598	0.00561463366658677
0.093	0.391298908036914	0.00136479704114346	0.00566819588081631
0.094	0.389487471070375	0.00134362490801073	0.00572182761099717
0.095	0.384981696561778	0.00135783866753426	0.00577552692054756
0.096	0.383529607484935	0.00136015762990915	0.00582929194184877
0.097	0.381961954753386	0.00134672526606829	0.00588312087330947
0.098	0.376589302372675	0.00132836736650956	0.00593701197657286
0.099	0.376108100235174	0.00134306832103548	0.0059909635738588
0.1	0.371656634969526	0.00134407674829122	0.00604497404543391
0.101	0.372280939191006	0.00136139826228727	0.00609904182720283
0.102	0.368368814619236	0.00134290003081738	0.00615316540841403
0.103	0.366006867211606	0.00134602352004737	0.00620734332947434
0.104	0.364067546606453	0.00134753822778528	0.0062615741798664
0.105	0.363184676623819	0.00135119194965156	0.00631585659616358
0.106	0.35710204874847	0.0013125341668987	0.00637018926013738
0.107	0.356205649315595	0.00134210190835341	0.00642457089695255
0.108	0.354247960822606	0.00132759493234524	0.0064790002734452
0.109	0.351569901378286	0.00132476753242784	0.00653347619647991
