qi_11BioS	ri_11BioS	si_11BioS	ti_11BioS
0.01	0.195334436115221	0.00302232041901311	0.00204980760315929
0.011	0.203910992188468	0.002367134412681	0.00206647313313521
0.012	0.214896484195822	0.0023134911626545	0.00208457298824075
0.013	0.229769369072464	0.00251287977796507	0.00210407015329091
0.014	0.23871799130298	0.00244918578435888	0.00212492616576897
0.015	0.236939564034745	0.00245947959452085	0.00214710142827556
0.016	0.24753288632749	0.0025817363851763	0.00217055550723073
0.017	0.248194536098057	0.00268418463376701	0.00219524741429517
0.018	0.253325769430025	0.00263567290816972	0.00222113586781695
0.019	0.254013216695113	0.00267207058716613	0.00224817953241498
0.02	0.254026623039917	0.00261552257979891	0.002276337235554
0.021	0.252488410494255	0.00257928694826627	0.0023055681606283
0.022	0.258046329927516	0.00261782742056039	0.00233583201664196
0.023	0.259105021477474	0.00259539039905494	0.00236708918504767
0.024	0.256929194265385	0.00251547277665781	0.00239930084468434
0.025	0.253846968750751	0.0025168319997305	0.00243242907604099
0.026	0.252249934502112	0.00243833940188962	0.00246643694627891
0.027	0.252601420176406	0.00242705160755473	0.00250128857657468
0.028	0.256368302678907	0.00238681438881899	0.00253694919341512
0.029	0.256548219295293	0.0024571294700661	0.0025733851654911
0.03	0.255389953159904	0.0023197808250398	0.00261056402781142
0.031	0.25658604900255	0.00235523748636574	0.00264845449460051
0.032	0.248294762700637	0.00224067669396776	0.00268702646246174
0.033	0.253116687538996	0.00226345971362788	0.00272625100519064
0.034	0.250739135845401	0.00222604354447293	0.00276610036151432
0.035	0.246220112095691	0.00218308419935802	0.00280654791692029
0.036	0.249319088303054	0.00215207708326096	0.00284756818062412
0.037	0.250771423247691	0.00216488660151704	0.00288913675861314
0.038	0.251725418358112	0.00213087615265786	0.00293123032359616
0.039	0.249040544330057	0.00209073638680665	0.00297382658258732
0.04	0.250202306016579	0.00210814280171735	0.00301690424275774
0.041	0.246005390345908	0.00204445097022282	0.0030604429761016
0.042	0.250288439623124	0.00202767075718914	0.00310442338338426
0.043	0.24434601831044	0.00197956324556347	0.0031488269577685
0.044	0.247333415104842	0.00200091858978989	0.00319363604845161
0.045	0.246190795679118	0.00199847388680509	0.00323883382458918
0.046	0.244822367607282	0.00191312172642788	0.00328440423973201
0.047	0.241375216088522	0.00190191273004911	0.00333033199695911
0.048	0.24287407635195	0.00190143829531977	0.00337660251485172
0.049	0.23992574129845	0.00183233581088581	0.00342320189442131
0.05	0.242653314756236	0.00188428574595198	0.00347011688707594
0.051	0.237966968993751	0.00178630678301864	0.00351733486368628
0.052	0.237392867148796	0.00180704753788493	0.00356484378479193
0.053	0.239546137798828	0.00178878039198398	0.00361263217197235
0.054	0.241194049389507	0.00182800873501311	0.00366068908039224
0.055	0.2343485108489	0.00170693054995484	0.00370900407251996
0.056	0.237204928673448	0.00171711904813082	0.00375756719300795
0.057	0.233493248151474	0.00170562328194794	0.0038063689447166
0.058	0.233587285280745	0.00168751382763693	0.00385540026585692
0.059	0.232033215826903	0.00164968600575579	0.00390465250822268
0.06	0.231377842230938	0.00166015380549437	0.00395411741647905
0.061	0.230816441916864	0.00162893983956236	0.00400378710847238
0.062	0.231467324273638	0.00166218534760539	0.00405365405652353
0.063	0.231216083240046	0.00160388571585474	0.00410371106966645
0.064	0.230262416288476	0.00162222105276398	0.00415395127679293
0.065	0.227489177004091	0.00155679637725533	0.00420436811066415
0.066	0.226596047159561	0.00157771529433387	0.0042549552927502
0.067	0.224085787020734	0.00153045710526626	0.00430570681885909
0.068	0.227079134639404	0.00153906490896209	0.00435661694551743
0.069	0.223020218019741	0.00150672988978085	0.00440768017706627
0.07	0.221067964779701	0.00148897256381512	0.00445889125343618
0.071	0.221819403285905	0.00148558816837874	0.00451024513856726
0.072	0.224542786339829	0.00150866714259251	0.00456173700944092
0.073	0.219337359333314	0.00143063149305456	0.00461336224569127
0.074	0.216808726264179	0.00141937188985977	0.00466511641976592
0.075	0.218583891408557	0.00144326880894254	0.00471699528760661
0.076	0.216499096800651	0.00140925303124959	0.00476899477982202
0.077	0.218139233229569	0.00142022685315226	0.00482111099332609
0.078	0.214797558016403	0.00139374904033264	0.0048733401834166
0.079	0.213816721783005	0.00137255483543589	0.00492567875627001
0.08	0.214215722104611	0.00135284308829949	0.00497812326182967
0.081	0.210262860367322	0.00132440749878275	0.00503067038706602
0.082	0.209663517466116	0.0013134776564372	0.0050833169495881
0.083	0.208866516386528	0.00130763592437434	0.00513605989158709
0.084	0.208765364440096	0.00133952944491148	0.00518889627409365
0.085	0.20734582310276	0.00134759071552881	0.00524182327153154
0.086	0.204291436678728	0.00136615328105194	0.00529483816655142
0.087	0.205626948839989	0.00143989425895028	0.00534793834512917
0.088	0.202027428075671	0.00143478017238904	0.00540112129191427
0.089	0.200243058598142	0.00144431915322502	0.00545438458581439
0.09	0.200284638429263	0.00143033024867494	0.00550772589580336
0.091	0.200401621798071	0.00145246229079414	0.00556114297694005
0.092	0.200377005738971	0.00145533999301458	0.00561463366658677
0.093	0.197996340891985	0.00147965174041191	0.00566819588081631
0.094	0.193770474987322	0.00142199186265886	0.00572182761099717
0.095	0.191886807223351	0.00143205826044577	0.00577552692054756
0.096	0.193664193692604	0.00145807906289471	0.00582929194184877
0.097	0.193611104472978	0.00144551603911418	0.00588312087330947
0.098	0.190392366738739	0.00141512694834191	0.00593701197657286
0.099	0.190326965768695	0.00143478859896919	0.0059909635738588
0.1	0.186621278456949	0.00141158630506722	0.00604497404543391
0.101	0.190040115036006	0.00145993262918838	0.00609904182720283
0.102	0.188034723565199	0.00144115342171535	0.00615316540841403
0.103	0.187405144355505	0.00144304027225066	0.00620734332947434
0.104	0.182012966056974	0.0013960499918944	0.0062615741798664
0.105	0.181161120732312	0.00139626748958821	0.00631585659616358
0.106	0.180169347908359	0.00137096238360415	0.00637018926013738
0.107	0.182556186264073	0.00142868703185475	0.00642457089695255
0.108	0.178685759464056	0.00138283163381942	0.0064790002734452
0.109	0.176418340604865	0.0013659211333279	0.00653347619647991
