qi_11BioS	ri_11BioS	si_11BioS	ti_11BioS
0.01	0.191990147061033	0.00258109121492701	0.00204980760315929
0.011	0.205152457599745	0.00244382186291407	0.00206647313313521
0.012	0.21678005302926	0.0023246018534523	0.00208457298824075
0.013	0.225739357947084	0.00252509779705496	0.00210407015329091
0.014	0.234286644753395	0.0023929682724299	0.00212492616576897
0.015	0.244409098847238	0.00273341116895151	0.00214710142827556
0.016	0.247160287355975	0.00263296700557197	0.00217055550723073
0.017	0.249228726340671	0.00254847769370289	0.00219524741429517
0.018	0.253631757818747	0.00277460964764723	0.00222113586781695
0.019	0.254253593264158	0.00260662837297657	0.00224817953241498
0.02	0.253934143016537	0.00263579943626785	0.002276337235554
0.021	0.254414682570002	0.00268829312528064	0.0023055681606283
0.022	0.255389532317055	0.00261132119046394	0.00233583201664196
0.023	0.254404843163942	0.00257112798651702	0.00236708918504767
0.024	0.259330326177207	0.00261041869416193	0.00239930084468434
0.025	0.254474256339438	0.00257190720355781	0.00243242907604099
0.026	0.255060987816761	0.00241307020107772	0.00246643694627891
0.027	0.25468112941587	0.00238340164846513	0.00250128857657468
0.028	0.258227785628972	0.00246714815834386	0.00253694919341512
0.029	0.252837834328828	0.0023610882095358	0.0025733851654911
0.03	0.255112981816209	0.00239942600146146	0.00261056402781142
0.031	0.253358399899652	0.00232757028037241	0.00264845449460051
0.032	0.252308239878535	0.00231825992465418	0.00268702646246174
0.033	0.249679326582557	0.00227558307736542	0.00272625100519064
0.034	0.251973765348073	0.0022334862132501	0.00276610036151432
0.035	0.248424442616631	0.00213591533403126	0.00280654791692029
0.036	0.24821176701665	0.00216056086474172	0.00284756818062412
0.037	0.250611108680078	0.00214903648975396	0.00288913675861314
0.038	0.252407859485003	0.00221159455153483	0.00293123032359616
0.039	0.249037752848607	0.00211537581309683	0.00297382658258732
0.04	0.251689318423173	0.00206736937192498	0.00301690424275774
0.041	0.247408769687998	0.00207137108463859	0.0030604429761016
0.042	0.245828774885631	0.00202631167819687	0.00310442338338426
0.043	0.248205271293304	0.00207912585507134	0.0031488269577685
0.044	0.24680568468252	0.00193109780274899	0.00319363604845161
0.045	0.24655989986913	0.00196834681033032	0.00323883382458918
0.046	0.242591138918523	0.00194478973436259	0.00328440423973201
0.047	0.24379885059427	0.00191321846889778	0.00333033199695911
0.048	0.240833004339624	0.00192520200873339	0.00337660251485172
0.049	0.242109517090289	0.00185175655680501	0.00342320189442131
0.05	0.240326250323371	0.00186454679307119	0.00347011688707594
0.051	0.239644129954918	0.00184849941046842	0.00351733486368628
0.052	0.240104040881818	0.00183367334303849	0.00356484378479193
0.053	0.23938172316147	0.00174827111934708	0.00361263217197235
0.054	0.237282649182964	0.00177099503660472	0.00366068908039224
0.055	0.237327230361258	0.00175077907221147	0.00370900407251996
0.056	0.236688243605686	0.00177800118564467	0.00375756719300795
0.057	0.235470879852941	0.00168031031486203	0.0038063689447166
0.058	0.23642070889364	0.00179355310368361	0.00385540026585692
0.059	0.230453574869914	0.00161769700796443	0.00390465250822268
0.06	0.231891659317259	0.00168147776710031	0.00395411741647905
0.061	0.23189044055236	0.00158556725131216	0.00400378710847238
0.062	0.230385790115955	0.00163834651080916	0.00405365405652353
0.063	0.229360239484918	0.00161817790170791	0.00410371106966645
0.064	0.231128822682192	0.00162634151592447	0.00415395127679293
0.065	0.228224581492617	0.00159665985465886	0.00420436811066415
0.066	0.226676843986313	0.00155501552779026	0.0042549552927502
0.067	0.226540480601294	0.00154153747238448	0.00430570681885909
0.068	0.223867101450142	0.00156857783718866	0.00435661694551743
0.069	0.224791256758881	0.00148024487380194	0.00440768017706627
0.07	0.223073720359223	0.00150242930980138	0.00445889125343618
0.071	0.221942474935558	0.00146427515983303	0.00451024513856726
0.072	0.22147115063062	0.00150138113004802	0.00456173700944092
0.073	0.220428588668504	0.00145294583042113	0.00461336224569127
0.074	0.219626895914459	0.00145005144954844	0.00466511641976592
0.075	0.21807547392859	0.00145720977135222	0.00471699528760661
0.076	0.218987092748317	0.0014456666255333	0.00476899477982202
0.077	0.215170712507989	0.00141485468251144	0.00482111099332609
0.078	0.214946723521224	0.00135298318012173	0.0048733401834166
0.079	0.214254372572477	0.00134792291808818	0.00492567875627001
0.08	0.214666643227962	0.00138647555104672	0.00497812326182967
0.081	0.214108326237929	0.00133966239215117	0.00503067038706602
0.082	0.207744336956922	0.00135004340787428	0.0050833169495881
0.083	0.209055017108173	0.001282910239361	0.00513605989158709
0.084	0.207998525252951	0.00132995801044054	0.00518889627409365
0.085	0.206958717315642	0.00130533824659641	0.00524182327153154
0.086	0.206922918159106	0.00145309032249672	0.00529483816655142
0.087	0.204099144277864	0.00141197082244917	0.00534793834512917
0.088	0.204855081513033	0.00146815937574078	0.00540112129191427
0.089	0.201793810906751	0.00144636246696894	0.00545438458581439
0.09	0.198101008045913	0.00142118127548186	0.00550772589580336
0.091	0.203986323152367	0.0014465187786183	0.00556114297694005
0.092	0.196378619501598	0.00148038435660314	0.00561463366658677
0.093	0.199860616635877	0.00145275655324477	0.00566819588081631
0.094	0.197472327973244	0.00149797802797712	0.00572182761099717
0.095	0.190232310245843	0.00137455995136132	0.00577552692054756
0.096	0.195078183171719	0.00143058024688305	0.00582929194184877
0.097	0.192313572219052	0.00146365723324384	0.00588312087330947
0.098	0.193991712161523	0.00144224145955034	0.00593701197657286
0.099	0.188656507486188	0.00145657277401739	0.0059909635738588
0.1	0.18900611134646	0.0014292132247045	0.00604497404543391
0.101	0.188618714260696	0.00144626686090884	0.00609904182720283
0.102	0.187736224383709	0.00141683197765535	0.00615316540841403
0.103	0.18781744025476	0.00142910202022139	0.00620734332947434
0.104	0.182631631692356	0.00142220833677054	0.0062615741798664
0.105	0.184031126430077	0.00140173271351834	0.00631585659616358
0.106	0.180167836203792	0.00140598351109282	0.00637018926013738
0.107	0.179665551815379	0.00138445652913641	0.00642457089695255
0.108	0.180399283620537	0.00139299661453	0.0064790002734452
0.109	0.179767274562879	0.00144260715550015	0.00653347619647991
